timestamp,rps
2026-09-25T22:26:45+05:00,14.8
2026-09-25T22:26:50+05:00,48.2
2026-09-25T22:26:55+05:00,80.2
2026-09-25T22:27:00+05:00,126.6
2026-09-25T22:27:05+05:00,193.6
2026-09-25T22:27:10+05:00,259.2
2026-09-25T22:27:15+05:00,326.0
2026-09-25T22:27:20+05:00,386.0
2026-09-25T22:27:25+05:00,439.6
2026-09-25T22:27:30+05:00,460.4
2026-09-25T22:27:35+05:00,423.0
2026-09-25T22:27:40+05:00,425.2
2026-09-25T22:27:45+05:00,433.2
2026-09-25T22:27:50+05:00,275.4
2026-09-25T22:27:55+05:00,230.2
2026-09-25T22:28:00+05:00,473.8
2026-09-25T22:28:05+05:00,369.4
2026-09-25T22:28:10+05:00,437.2
2026-09-25T22:28:15+05:00,511.6
2026-09-25T22:28:20+05:00,521.6
2026-09-25T22:28:25+05:00,516.4
2026-09-25T22:28:30+05:00,501.4
2026-09-25T22:28:35+05:00,454.2
2026-09-25T22:28:40+05:00,441.6
2026-09-25T22:28:45+05:00,483.8
2026-09-25T22:28:50+05:00,492.8
2026-09-25T22:28:55+05:00,466.0
2026-09-25T22:29:00+05:00,466.8
2026-09-25T22:29:05+05:00,468.4
2026-09-25T22:29:10+05:00,482.8
2026-09-25T22:29:15+05:00,478.2
2026-09-25T22:29:20+05:00,483.0
2026-09-25T22:29:25+05:00,484.0
2026-09-25T22:29:30+05:00,475.0
2026-09-25T22:29:35+05:00,443.6
2026-09-25T22:29:40+05:00,397.0
2026-09-25T22:29:45+05:00,366.2
2026-09-25T22:29:50+05:00,349.8
2026-09-25T22:29:55+05:00,302.4
2026-09-25T22:30:00+05:00,265.8
2026-09-25T22:30:05+05:00,218.8
2026-09-25T22:30:10+05:00,181.0
2026-09-25T22:30:15+05:00,138.2
2026-09-25T22:30:20+05:00,92.6
2026-09-25T22:30:25+05:00,43.0
2026-09-25T22:30:30+05:00,2.4
